/usr/bin/java -Xmx64G -XX:MaxDirectMemorySize=64G -classpath /root/YCSB/conf:/root/YCSB/core/target/core-0.18.0-SNAPSHOT.jar:/root/YCSB/rocksdb/target/rocksdb-binding-0.18.0-SNAPSHOT.jar:/root/YCSB/rocksdb/target/dependency/HdrHistogram-2.1.4.jar:/root/YCSB/rocksdb/target/dependency/animal-sniffer-annotations-1.19.jar:/root/YCSB/rocksdb/target/dependency/annotations-4.1.1.4.jar:/root/YCSB/rocksdb/target/dependency/checker-compat-qual-2.5.5.jar:/root/YCSB/rocksdb/target/dependency/error_prone_annotations-2.4.0.jar:/root/YCSB/rocksdb/target/dependency/failureaccess-1.0.1.jar:/root/YCSB/rocksdb/target/dependency/grpc-api-1.37.1.jar:/root/YCSB/rocksdb/target/dependency/grpc-context-1.37.1.jar:/root/YCSB/rocksdb/target/dependency/grpc-core-1.37.1.jar:/root/YCSB/rocksdb/target/dependency/grpc-netty-shaded-1.37.1.jar:/root/YCSB/rocksdb/target/dependency/grpc-protobuf-1.37.1.jar:/root/YCSB/rocksdb/target/dependency/grpc-protobuf-lite-1.37.1.jar:/root/YCSB/rocksdb/target/dependency/grpc-stub-1.37.1.jar:/root/YCSB/rocksdb/target/dependency/gson-2.8.6.jar:/root/YCSB/rocksdb/target/dependency/guava-30.0-android.jar:/root/YCSB/rocksdb/target/dependency/htrace-core4-4.1.0-incubating.jar:/root/YCSB/rocksdb/target/dependency/j2objc-annotations-1.3.jar:/root/YCSB/rocksdb/target/dependency/jcip-annotations-1.0.jar:/root/YCSB/rocksdb/target/dependency/jsr305-3.0.2.jar:/root/YCSB/rocksdb/target/dependency/listenablefuture-9999.0-empty-to-avoid-conflict-with-guava.jar:/root/YCSB/rocksdb/target/dependency/perfmark-api-0.23.0.jar:/root/YCSB/rocksdb/target/dependency/proto-google-common-protos-2.0.1.jar:/root/YCSB/rocksdb/target/dependency/protobuf-java-3.12.0.jar:/root/YCSB/rocksdb/target/dependency/rocksdbjni-6.14.0.jar:/root/YCSB/rocksdb/target/dependency/slf4j-api-1.7.25.jar:/root/YCSB/rocksdb/target/dependency/slf4j-simple-1.7.25.jar site.ycsb.Client -load -db site.ycsb.db.rocksdb.RocksDBClient -s -P workloads/workloadd -p rocksdb.dir=null -p replicator=localhost:50040 -p shard=3 -p status.interval=1000 -p target=90000 -threads 4
Command line: -load -db site.ycsb.db.rocksdb.RocksDBClient -s -P workloads/workloadd -p rocksdb.dir=null -p replicator=localhost:50040 -p shard=3 -p status.interval=1000 -p target=90000 -threads 4
threadcount: 4
YCSB Client 0.18.0-SNAPSHOT

Loading workload...
Starting test.
[Thread-2] INFO site.ycsb.db.rocksdb.RocksDBClient - RocksDB data dir: null
2022-11-26 17:35:26:941 0 sec: 0 operations; est completion in 0 second 
DBWrapper: report latency for each error is false and specific error codes to track for latency are: []
2022-11-26 17:35:27:914 1 sec: 0 operations; est completion in 106751991167300 days 15 hours [INSERT: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] 
2022-11-26 17:35:28:914 2 sec: 120000 operations; 120000 current ops/sec; est completion in 8 minutes [INSERT: Count=120000, Max=881151, Min=91840, Avg=503791.73, 90=755711, 99=842239, 99.9=881151, 99.99=881151] 
2022-11-26 17:35:29:914 3 sec: 157000 operations; 37037.04 current ops/sec; est completion in 9 minutes [INSERT: Count=37000, Max=828415, Min=318208, Avg=548386.59, 90=707071, 99=828415, 99.9=828415, 99.99=828415] 
2022-11-26 17:35:30:914 4 sec: 157000 operations; 0 current ops/sec; est completion in 12 minutes [INSERT: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] 
2022-11-26 17:35:31:914 5 sec: 157000 operations; 0 current ops/sec; est completion in 15 minutes [INSERT: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] 
2022-11-26 17:35:32:914 6 sec: 157000 operations; 0 current ops/sec; est completion in 18 minutes [INSERT: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] 
2022-11-26 17:35:33:914 7 sec: 157000 operations; 0 current ops/sec; est completion in 21 minutes [INSERT: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] 
2022-11-26 17:35:34:914 8 sec: 157000 operations; 0 current ops/sec; est completion in 24 minutes [INSERT: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] 
2022-11-26 17:35:35:914 9 sec: 157000 operations; 0 current ops/sec; est completion in 27 minutes [INSERT: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] 
2022-11-26 17:35:36:914 10 sec: 157000 operations; 0 current ops/sec; est completion in 30 minutes [INSERT: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] 
2022-11-26 17:35:37:914 11 sec: 157000 operations; 0 current ops/sec; est completion in 33 minutes [INSERT: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] 
2022-11-26 17:35:38:914 12 sec: 157000 operations; 0 current ops/sec; est completion in 36 minutes [INSERT: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] 
2022-11-26 17:35:39:914 13 sec: 157000 operations; 0 current ops/sec; est completion in 39 minutes [INSERT: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] 
2022-11-26 17:35:40:914 14 sec: 157000 operations; 0 current ops/sec; est completion in 42 minutes [INSERT: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] 
2022-11-26 17:35:41:914 15 sec: 157000 operations; 0 current ops/sec; est completion in 45 minutes [INSERT: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] 
2022-11-26 17:35:42:914 16 sec: 157000 operations; 0 current ops/sec; est completion in 48 minutes [INSERT: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] 
2022-11-26 17:35:43:914 17 sec: 157000 operations; 0 current ops/sec; est completion in 51 minutes [INSERT: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] 
2022-11-26 17:35:44:914 18 sec: 157000 operations; 0 current ops/sec; est completion in 54 minutes [INSERT: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] 
2022-11-26 17:35:45:914 19 sec: 157000 operations; 0 current ops/sec; est completion in 57 minutes [INSERT: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] 
2022-11-26 17:35:46:914 20 sec: 157000 operations; 0 current ops/sec; est completion in 59 minutes [INSERT: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] 
2022-11-26 17:35:47:914 21 sec: 157000 operations; 0 current ops/sec; est completion in 1 hour 2 minutes [INSERT: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] 
2022-11-26 17:35:48:914 22 sec: 157000 operations; 0 current ops/sec; est completion in 1 hour 5 minutes [INSERT: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] 
2022-11-26 17:35:49:914 23 sec: 214000 operations; 56943.06 current ops/sec; est completion in 50 minutes [INSERT: Count=57000, Max=20168703, Min=18694144, Avg=19602593.68, 90=20054015, 99=20168703, 99.9=20168703, 99.99=20168703] 
2022-11-26 17:35:50:914 24 sec: 297000 operations; 83083.08 current ops/sec; est completion in 37 minutes [INSERT: Count=83000, Max=19398655, Min=16449536, Avg=18039228.14, 90=18890751, 99=19398655, 99.9=19398655, 99.99=19398655] 
2022-11-26 17:35:51:914 25 sec: 387000 operations; 90000 current ops/sec; est completion in 29 minutes [INSERT: Count=90000, Max=17612799, Min=14688256, Avg=16120718.22, 90=17154047, 99=17612799, 99.9=17612799, 99.99=17612799] 
2022-11-26 17:35:52:914 26 sec: 511000 operations; 124000 current ops/sec; est completion in 23 minutes [INSERT: Count=124000, Max=23281663, Min=13811712, Avg=19576204.39, 90=23052287, 99=23232511, 99.9=23281663, 99.99=23281663] 
2022-11-26 17:35:53:914 27 sec: 662000 operations; 151000 current ops/sec; est completion in 18 minutes [INSERT: Count=151000, Max=22937599, Min=13795328, Avg=20814244.45, 90=22609919, 99=22904831, 99.9=22937599, 99.99=22937599] 
2022-11-26 17:35:54:914 28 sec: 813000 operations; 151000 current ops/sec; est completion in 15 minutes [INSERT: Count=151000, Max=22052863, Min=13230080, Avg=19402128.11, 90=21561343, 99=21954559, 99.9=22052863, 99.99=22052863] 
2022-11-26 17:35:55:914 29 sec: 962000 operations; 149000 current ops/sec; est completion in 13 minutes [INSERT: Count=150000, Max=20971519, Min=12779520, Avg=18484619.95, 90=20725759, 99=20955135, 99.9=20971519, 99.99=20971519] 
2022-11-26 17:35:56:914 30 sec: 1100000 operations; 138000 current ops/sec; est completion in 12 minutes [INSERT: Count=137000, Max=20398079, Min=12550144, Avg=18313485.08, 90=20037631, 99=20316159, 99.9=20398079, 99.99=20398079] 
2022-11-26 17:35:57:914 31 sec: 1234000 operations; 134000 current ops/sec; est completion in 11 minutes [INSERT: Count=134000, Max=19791871, Min=12828672, Avg=18119328.48, 90=19218431, 99=19677183, 99.9=19791871, 99.99=19791871] 
2022-11-26 17:35:58:914 32 sec: 1377000 operations; 143000 current ops/sec; est completion in 10 minutes [INSERT: Count=143000, Max=18792447, Min=12746752, Avg=16845473.12, 90=18382847, 99=18726911, 99.9=18792447, 99.99=18792447] 
2022-11-26 17:35:59:914 33 sec: 1526000 operations; 148851.15 current ops/sec; est completion in 9 minutes [INSERT: Count=149000, Max=18169855, Min=12582912, Avg=16142281.02, 90=17661951, 99=18071551, 99.9=18169855, 99.99=18169855] 
2022-11-26 17:36:00:914 34 sec: 1681000 operations; 155155.16 current ops/sec; est completion in 9 minutes [INSERT: Count=155000, Max=17432575, Min=10338304, Avg=14954020.34, 90=17104895, 99=17432575, 99.9=17432575, 99.99=17432575] 
