/usr/bin/java -Xmx64G -XX:MaxDirectMemorySize=64G -classpath /root/YCSB/conf:/root/YCSB/core/target/core-0.18.0-SNAPSHOT.jar:/root/YCSB/rocksdb/target/rocksdb-binding-0.18.0-SNAPSHOT.jar:/root/YCSB/rocksdb/target/dependency/HdrHistogram-2.1.4.jar:/root/YCSB/rocksdb/target/dependency/animal-sniffer-annotations-1.19.jar:/root/YCSB/rocksdb/target/dependency/annotations-4.1.1.4.jar:/root/YCSB/rocksdb/target/dependency/checker-compat-qual-2.5.5.jar:/root/YCSB/rocksdb/target/dependency/error_prone_annotations-2.4.0.jar:/root/YCSB/rocksdb/target/dependency/failureaccess-1.0.1.jar:/root/YCSB/rocksdb/target/dependency/grpc-api-1.37.1.jar:/root/YCSB/rocksdb/target/dependency/grpc-context-1.37.1.jar:/root/YCSB/rocksdb/target/dependency/grpc-core-1.37.1.jar:/root/YCSB/rocksdb/target/dependency/grpc-netty-shaded-1.37.1.jar:/root/YCSB/rocksdb/target/dependency/grpc-protobuf-1.37.1.jar:/root/YCSB/rocksdb/target/dependency/grpc-protobuf-lite-1.37.1.jar:/root/YCSB/rocksdb/target/dependency/grpc-stub-1.37.1.jar:/root/YCSB/rocksdb/target/dependency/gson-2.8.6.jar:/root/YCSB/rocksdb/target/dependency/guava-30.0-android.jar:/root/YCSB/rocksdb/target/dependency/htrace-core4-4.1.0-incubating.jar:/root/YCSB/rocksdb/target/dependency/j2objc-annotations-1.3.jar:/root/YCSB/rocksdb/target/dependency/jcip-annotations-1.0.jar:/root/YCSB/rocksdb/target/dependency/jsr305-3.0.2.jar:/root/YCSB/rocksdb/target/dependency/listenablefuture-9999.0-empty-to-avoid-conflict-with-guava.jar:/root/YCSB/rocksdb/target/dependency/perfmark-api-0.23.0.jar:/root/YCSB/rocksdb/target/dependency/proto-google-common-protos-2.0.1.jar:/root/YCSB/rocksdb/target/dependency/protobuf-java-3.12.0.jar:/root/YCSB/rocksdb/target/dependency/rocksdbjni-6.14.0.jar:/root/YCSB/rocksdb/target/dependency/slf4j-api-1.7.25.jar:/root/YCSB/rocksdb/target/dependency/slf4j-simple-1.7.25.jar site.ycsb.Client -load -db site.ycsb.db.rocksdb.RocksDBClient -s -P workloads/workloadc -p rocksdb.dir=null -p replicator=localhost:50040 -p shard=6 -p status.interval=1000 -p target=90000 -threads 4
Command line: -load -db site.ycsb.db.rocksdb.RocksDBClient -s -P workloads/workloadc -p rocksdb.dir=null -p replicator=localhost:50040 -p shard=6 -p status.interval=1000 -p target=90000 -threads 4
threadcount: 4
YCSB Client 0.18.0-SNAPSHOT

Loading workload...
Starting test.
[Thread-2] INFO site.ycsb.db.rocksdb.RocksDBClient - RocksDB data dir: null
2022-11-26 23:37:21:513 0 sec: 0 operations; est completion in 0 second 
DBWrapper: report latency for each error is false and specific error codes to track for latency are: []
2022-11-26 23:37:22:486 1 sec: 0 operations; est completion in 106751991167300 days 15 hours [INSERT: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] 
2022-11-26 23:37:23:486 2 sec: 112000 operations; 112000 current ops/sec; est completion in 17 minutes [INSERT: Count=112000, Max=855551, Min=53600, Avg=475078.14, 90=687103, 99=835583, 99.9=855551, 99.99=855551] 
2022-11-26 23:37:24:485 3 sec: 216000 operations; 104000 current ops/sec; est completion in 13 minutes [INSERT: Count=104000, Max=658431, Min=46240, Avg=180266.46, 90=391679, 99=644607, 99.9=658431, 99.99=658431] 
2022-11-26 23:37:25:486 4 sec: 286000 operations; 70000 current ops/sec; est completion in 13 minutes [INSERT: Count=70000, Max=605695, Min=52352, Avg=226522.06, 90=503039, 99=605695, 99.9=605695, 99.99=605695] 
2022-11-26 23:37:26:485 5 sec: 316000 operations; 30000 current ops/sec; est completion in 15 minutes [INSERT: Count=30000, Max=840703, Min=170880, Avg=356878.93, 90=608255, 99=840703, 99.9=840703, 99.99=840703] 
2022-11-26 23:37:27:485 6 sec: 316000 operations; 0 current ops/sec; est completion in 18 minutes [INSERT: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] 
2022-11-26 23:37:28:485 7 sec: 316000 operations; 0 current ops/sec; est completion in 21 minutes [INSERT: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] 
2022-11-26 23:37:29:485 8 sec: 316000 operations; 0 current ops/sec; est completion in 25 minutes [INSERT: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] 
2022-11-26 23:37:30:485 9 sec: 316000 operations; 0 current ops/sec; est completion in 28 minutes [INSERT: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] 
2022-11-26 23:37:31:485 10 sec: 316000 operations; 0 current ops/sec; est completion in 31 minutes [INSERT: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] 
2022-11-26 23:37:32:485 11 sec: 316000 operations; 0 current ops/sec; est completion in 34 minutes [INSERT: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] 
2022-11-26 23:37:33:485 12 sec: 316000 operations; 0 current ops/sec; est completion in 37 minutes [INSERT: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] 
2022-11-26 23:37:34:486 13 sec: 316000 operations; 0 current ops/sec; est completion in 40 minutes [INSERT: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] 
2022-11-26 23:37:35:485 14 sec: 316000 operations; 0 current ops/sec; est completion in 43 minutes [INSERT: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] 
2022-11-26 23:37:36:485 15 sec: 316000 operations; 0 current ops/sec; est completion in 46 minutes [INSERT: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] 
2022-11-26 23:37:37:485 16 sec: 316000 operations; 0 current ops/sec; est completion in 49 minutes [INSERT: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] 
2022-11-26 23:37:38:497 17 sec: 316000 operations; 0 current ops/sec; est completion in 52 minutes [INSERT: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] 
2022-11-26 23:37:39:485 18 sec: 316000 operations; 0 current ops/sec; est completion in 55 minutes [INSERT: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] 
2022-11-26 23:37:40:485 19 sec: 316000 operations; 0 current ops/sec; est completion in 58 minutes [INSERT: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] 
2022-11-26 23:37:41:485 20 sec: 316000 operations; 0 current ops/sec; est completion in 1 hour 1 minute [INSERT: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] 
2022-11-26 23:37:42:486 21 sec: 316000 operations; 0 current ops/sec; est completion in 1 hour 4 minutes [INSERT: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] 
2022-11-26 23:37:43:485 22 sec: 316000 operations; 0 current ops/sec; est completion in 1 hour 7 minutes [INSERT: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] 
2022-11-26 23:37:44:485 23 sec: 377000 operations; 61000 current ops/sec; est completion in 58 minutes [INSERT: Count=61000, Max=18448383, Min=15441920, Avg=17378925.11, 90=18055167, 99=18448383, 99.9=18448383, 99.99=18448383] 
2022-11-26 23:37:45:485 24 sec: 434000 operations; 57000 current ops/sec; est completion in 53 minutes [INSERT: Count=57000, Max=18579455, Min=11911168, Avg=15308261.05, 90=16588799, 99=18579455, 99.9=18579455, 99.99=18579455] 
2022-11-26 23:37:46:485 25 sec: 560000 operations; 126000 current ops/sec; est completion in 43 minutes [INSERT: Count=126000, Max=20725759, Min=2924544, Avg=11626747.94, 90=20398079, 99=20692991, 99.9=20725759, 99.99=20725759] 
2022-11-26 23:37:47:485 26 sec: 740000 operations; 180000 current ops/sec; est completion in 33 minutes [INSERT: Count=180000, Max=21168127, Min=3430400, Avg=18863655.82, 90=20692991, 99=21037055, 99.9=21168127, 99.99=21168127] 
2022-11-26 23:37:48:485 27 sec: 926000 operations; 186000 current ops/sec; est completion in 28 minutes [INSERT: Count=186000, Max=20103167, Min=4098048, Avg=17629993.29, 90=19578879, 99=19922943, 99.9=20103167, 99.99=20103167] 
2022-11-26 23:37:49:485 28 sec: 1154000 operations; 228000 current ops/sec; est completion in 23 minutes [INSERT: Count=228000, Max=19251199, Min=4280320, Avg=16320673.68, 90=18268159, 99=19054591, 99.9=19251199, 99.99=19251199] 
2022-11-26 23:37:50:485 29 sec: 1365000 operations; 211000 current ops/sec; est completion in 20 minutes [INSERT: Count=211000, Max=17858559, Min=4804608, Avg=14299359.24, 90=16793599, 99=17596415, 99.9=17858559, 99.99=17858559] 
2022-11-26 23:37:51:486 30 sec: 1561000 operations; 196000 current ops/sec; est completion in 18 minutes [INSERT: Count=196000, Max=16629759, Min=5148672, Avg=13199558.53, 90=15736831, 99=16515071, 99.9=16629759, 99.99=16629759] 
2022-11-26 23:37:52:485 31 sec: 1788000 operations; 227000 current ops/sec; est completion in 16 minutes [INSERT: Count=227000, Max=15138815, Min=5103616, Avg=11539225.94, 90=14303231, 99=14925823, 99.9=15138815, 99.99=15138815] 
2022-11-26 23:37:53:486 32 sec: 1978000 operations; 190000 current ops/sec; est completion in 15 minutes [INSERT: Count=191000, Max=14221311, Min=3887104, Avg=10244921.63, 90=13008895, 99=14000127, 99.9=14221311, 99.99=14221311] 
2022-11-26 23:37:54:485 33 sec: 2184000 operations; 206000 current ops/sec; est completion in 14 minutes [INSERT: Count=206000, Max=12918783, Min=3158016, Avg=9197518.29, 90=11616255, 99=12681215, 99.9=12918783, 99.99=12918783] 
2022-11-26 23:37:55:485 34 sec: 2399000 operations; 215000 current ops/sec; est completion in 13 minutes [INSERT: Count=215000, Max=10960895, Min=2232320, Avg=7637844.54, 90=10084351, 99=10780671, 99.9=10960895, 99.99=10960895] 
2022-11-26 23:37:56:485 35 sec: 2611000 operations; 212000 current ops/sec; est completion in 12 minutes [INSERT: Count=211000, Max=9363455, Min=987136, Avg=6412570.69, 90=8617983, 99=9240575, 99.9=9363455, 99.99=9363455] 
2022-11-26 23:37:57:485 36 sec: 2793000 operations; 182000 current ops/sec; est completion in 12 minutes [INSERT: Count=182000, Max=7987199, Min=952832, Avg=5354799.82, 90=7041023, 99=7733247, 99.9=7987199, 99.99=7987199] 
2022-11-26 23:37:58:485 37 sec: 2947000 operations; 154000 current ops/sec; est completion in 11 minutes [INSERT: Count=155000, Max=6463487, Min=43168, Avg=3809220.13, 90=5795839, 99=6242303, 99.9=6463487, 99.99=6463487] 
2022-11-26 23:37:59:485 38 sec: 3102000 operations; 155000 current ops/sec; est completion in 11 minutes [INSERT: Count=154000, Max=6451199, Min=53792, Avg=3662631.58, 90=5550079, 99=6443007, 99.9=6451199, 99.99=6451199] 
2022-11-26 23:38:00:485 39 sec: 3261000 operations; 159000 current ops/sec; est completion in 11 minutes [INSERT: Count=159000, Max=7012351, Min=47776, Avg=2557125.84, 90=4276223, 99=6770687, 99.9=7012351, 99.99=7012351] 
2022-11-26 23:38:01:485 40 sec: 3412000 operations; 151000 current ops/sec; est completion in 11 minutes [INSERT: Count=151000, Max=6201343, Min=47808, Avg=2382991.15, 90=4853759, 99=6074367, 99.9=6201343, 99.99=6201343] 
2022-11-26 23:38:02:485 41 sec: 3549000 operations; 137000 current ops/sec; est completion in 10 minutes [INSERT: Count=137000, Max=4845567, Min=47168, Avg=1490938.86, 90=3284991, 99=4587519, 99.9=4845567, 99.99=4845567] 
2022-11-26 23:38:03:485 42 sec: 3628000 operations; 79000 current ops/sec; est completion in 10 minutes [INSERT: Count=79000, Max=3301375, Min=47360, Avg=900987.54, 90=2766847, 99=3301375, 99.9=3301375, 99.99=3301375] 
2022-11-26 23:38:04:485 43 sec: 3733000 operations; 105000 current ops/sec; est completion in 10 minutes [INSERT: Count=105000, Max=3465215, Min=42240, Avg=950042.21, 90=3219455, 99=3463167, 99.9=3465215, 99.99=3465215] 
2022-11-26 23:38:05:485 44 sec: 3856000 operations; 123000 current ops/sec; est completion in 10 minutes [INSERT: Count=123000, Max=4210687, Min=43072, Avg=1308993.69, 90=3352575, 99=3989503, 99.9=4210687, 99.99=4210687] 
2022-11-26 23:38:06:485 45 sec: 3975000 operations; 119000 current ops/sec; est completion in 10 minutes [INSERT: Count=119000, Max=3024895, Min=41536, Avg=722243.36, 90=2338815, 99=3002367, 99.9=3024895, 99.99=3024895] 
2022-11-26 23:38:07:485 46 sec: 4084000 operations; 109000 current ops/sec; est completion in 10 minutes [INSERT: Count=109000, Max=1781759, Min=42688, Avg=376876.62, 90=1130495, 99=1716223, 99.9=1781759, 99.99=1781759] 
2022-11-26 23:38:08:485 47 sec: 4167000 operations; 83000 current ops/sec; est completion in 10 minutes [INSERT: Count=83000, Max=737791, Min=40192, Avg=161565.69, 90=512255, 99=737791, 99.9=737791, 99.99=737791] 
2022-11-26 23:38:09:485 48 sec: 4269000 operations; 102000 current ops/sec; est completion in 10 minutes [INSERT: Count=102000, Max=893951, Min=41024, Avg=147260.55, 90=337663, 99=763903, 99.9=893951, 99.99=893951] 
2022-11-26 23:38:10:485 49 sec: 4348000 operations; 79000 current ops/sec; est completion in 10 minutes [INSERT: Count=79000, Max=311807, Min=41984, Avg=69088.81, 90=133119, 99=311807, 99.9=311807, 99.99=311807] 
2022-11-26 23:38:11:485 50 sec: 4452000 operations; 104000 current ops/sec; est completion in 10 minutes [INSERT: Count=104000, Max=563711, Min=42304, Avg=102342.62, 90=310783, 99=393215, 99.9=563711, 99.99=563711] 
2022-11-26 23:38:12:485 51 sec: 4532000 operations; 80000 current ops/sec; est completion in 10 minutes [INSERT: Count=80000, Max=331263, Min=42848, Avg=91800, 90=306431, 99=331263, 99.9=331263, 99.99=331263] 
2022-11-26 23:38:13:485 52 sec: 4622000 operations; 90000 current ops/sec; est completion in 10 minutes [INSERT: Count=90000, Max=627711, Min=43424, Avg=174122.13, 90=446719, 99=627711, 99.9=627711, 99.99=627711] 
2022-11-26 23:38:14:558 53 sec: 4706000 operations; 78285.18 current ops/sec; est completion in 10 minutes [INSERT: Count=84000, Max=629247, Min=39040, Avg=102236.19, 90=265727, 99=629247, 99.9=629247, 99.99=629247] 
2022-11-26 23:38:15:485 54 sec: 4810000 operations; 112189.86 current ops/sec; est completion in 10 minutes [INSERT: Count=104000, Max=810495, Min=42304, Avg=174947.38, 90=465919, 99=712191, 99.9=810495, 99.99=810495] 
2022-11-26 23:38:16:485 55 sec: 4902000 operations; 92000 current ops/sec; est completion in 10 minutes [INSERT: Count=92000, Max=460543, Min=43680, Avg=95479.13, 90=228863, 99=460543, 99.9=460543, 99.99=460543] 
2022-11-26 23:38:17:485 56 sec: 4988000 operations; 86000 current ops/sec; est completion in 10 minutes [INSERT: Count=86000, Max=626687, Min=43776, Avg=80756.84, 90=95231, 99=626687, 99.9=626687, 99.99=626687] 
2022-11-26 23:38:18:486 57 sec: 5069000 operations; 81000 current ops/sec; est completion in 10 minutes [INSERT: Count=81000, Max=706047, Min=41664, Avg=224256, 90=503807, 99=706047, 99.9=706047, 99.99=706047] 
2022-11-26 23:38:19:485 58 sec: 5168000 operations; 99000 current ops/sec; est completion in 10 minutes [INSERT: Count=99000, Max=462847, Min=41248, Avg=111361.78, 90=314623, 99=462847, 99.9=462847, 99.99=462847] 
2022-11-26 23:38:20:485 59 sec: 5239000 operations; 71000 current ops/sec; est completion in 10 minutes [INSERT: Count=71000, Max=396543, Min=43552, Avg=110788.06, 90=271615, 99=396543, 99.9=396543, 99.99=396543] 
2022-11-26 23:38:21:485 60 sec: 5352000 operations; 113000 current ops/sec; est completion in 10 minutes [INSERT: Count=113000, Max=604671, Min=40288, Avg=131096.07, 90=333311, 99=409343, 99.9=604671, 99.99=604671] 
2022-11-26 23:38:22:485 61 sec: 5438000 operations; 86000 current ops/sec; est completion in 10 minutes [INSERT: Count=86000, Max=325887, Min=40512, Avg=63559.07, 90=86399, 99=325887, 99.9=325887, 99.99=325887] 
2022-11-26 23:38:23:485 62 sec: 5517000 operations; 79000 current ops/sec; est completion in 10 minutes [INSERT: Count=79000, Max=676351, Min=39296, Avg=104125.97, 90=325375, 99=676351, 99.9=676351, 99.99=676351] 
2022-11-26 23:38:24:485 63 sec: 5621000 operations; 104000 current ops/sec; est completion in 10 minutes [INSERT: Count=104000, Max=646655, Min=40288, Avg=141340.92, 90=389119, 99=575999, 99.9=646655, 99.99=646655] 
2022-11-26 23:38:25:485 64 sec: 5700000 operations; 79000 current ops/sec; est completion in 10 minutes [INSERT: Count=79000, Max=526335, Min=42176, Avg=87845.47, 90=199807, 99=526335, 99.9=526335, 99.99=526335] 
2022-11-26 23:38:26:485 65 sec: 5797000 operations; 97000 current ops/sec; est completion in 10 minutes [INSERT: Count=97000, Max=485119, Min=39744, Avg=121578.06, 90=302079, 99=485119, 99.9=485119, 99.99=485119] 
2022-11-26 23:38:27:486 66 sec: 5889000 operations; 92000 current ops/sec; est completion in 10 minutes [INSERT: Count=92000, Max=594943, Min=43904, Avg=104074.96, 90=215039, 99=594943, 99.9=594943, 99.99=594943] 
2022-11-26 23:38:28:485 67 sec: 5974000 operations; 85000 current ops/sec; est completion in 10 minutes [INSERT: Count=85000, Max=328703, Min=43200, Avg=82719.62, 90=111551, 99=328703, 99.9=328703, 99.99=328703] 
2022-11-26 23:38:29:485 68 sec: 6056000 operations; 82000 current ops/sec; est completion in 10 minutes [INSERT: Count=82000, Max=472575, Min=43648, Avg=163249.76, 90=365823, 99=472575, 99.9=472575, 99.99=472575] 
2022-11-26 23:38:30:486 69 sec: 6147000 operations; 91000 current ops/sec; est completion in 10 minutes [INSERT: Count=91000, Max=671743, Min=43552, Avg=194651.43, 90=431615, 99=671743, 99.9=671743, 99.99=671743] 
