/usr/bin/java -Xmx64G -XX:MaxDirectMemorySize=64G -classpath /root/YCSB/conf:/root/YCSB/core/target/core-0.18.0-SNAPSHOT.jar:/root/YCSB/rocksdb/target/rocksdb-binding-0.18.0-SNAPSHOT.jar:/root/YCSB/rocksdb/target/dependency/HdrHistogram-2.1.4.jar:/root/YCSB/rocksdb/target/dependency/animal-sniffer-annotations-1.19.jar:/root/YCSB/rocksdb/target/dependency/annotations-4.1.1.4.jar:/root/YCSB/rocksdb/target/dependency/checker-compat-qual-2.5.5.jar:/root/YCSB/rocksdb/target/dependency/error_prone_annotations-2.4.0.jar:/root/YCSB/rocksdb/target/dependency/failureaccess-1.0.1.jar:/root/YCSB/rocksdb/target/dependency/grpc-api-1.37.1.jar:/root/YCSB/rocksdb/target/dependency/grpc-context-1.37.1.jar:/root/YCSB/rocksdb/target/dependency/grpc-core-1.37.1.jar:/root/YCSB/rocksdb/target/dependency/grpc-netty-shaded-1.37.1.jar:/root/YCSB/rocksdb/target/dependency/grpc-protobuf-1.37.1.jar:/root/YCSB/rocksdb/target/dependency/grpc-protobuf-lite-1.37.1.jar:/root/YCSB/rocksdb/target/dependency/grpc-stub-1.37.1.jar:/root/YCSB/rocksdb/target/dependency/gson-2.8.6.jar:/root/YCSB/rocksdb/target/dependency/guava-30.0-android.jar:/root/YCSB/rocksdb/target/dependency/htrace-core4-4.1.0-incubating.jar:/root/YCSB/rocksdb/target/dependency/j2objc-annotations-1.3.jar:/root/YCSB/rocksdb/target/dependency/jcip-annotations-1.0.jar:/root/YCSB/rocksdb/target/dependency/jsr305-3.0.2.jar:/root/YCSB/rocksdb/target/dependency/listenablefuture-9999.0-empty-to-avoid-conflict-with-guava.jar:/root/YCSB/rocksdb/target/dependency/perfmark-api-0.23.0.jar:/root/YCSB/rocksdb/target/dependency/proto-google-common-protos-2.0.1.jar:/root/YCSB/rocksdb/target/dependency/protobuf-java-3.12.0.jar:/root/YCSB/rocksdb/target/dependency/rocksdbjni-6.14.0.jar:/root/YCSB/rocksdb/target/dependency/slf4j-api-1.7.25.jar:/root/YCSB/rocksdb/target/dependency/slf4j-simple-1.7.25.jar site.ycsb.Client -load -db site.ycsb.db.rocksdb.RocksDBClient -s -P workloads/workloadd -p rocksdb.dir=null -p replicator=localhost:50040 -p shard=6 -p status.interval=1000 -p target=90000 -threads 4
Command line: -load -db site.ycsb.db.rocksdb.RocksDBClient -s -P workloads/workloadd -p rocksdb.dir=null -p replicator=localhost:50040 -p shard=6 -p status.interval=1000 -p target=90000 -threads 4
threadcount: 4
YCSB Client 0.18.0-SNAPSHOT

Loading workload...
Starting test.
[Thread-2] INFO site.ycsb.db.rocksdb.RocksDBClient - RocksDB data dir: null
2022-11-27 00:39:41:090 0 sec: 0 operations; est completion in 0 second 
DBWrapper: report latency for each error is false and specific error codes to track for latency are: []
2022-11-27 00:39:42:062 1 sec: 0 operations; est completion in 106751991167300 days 15 hours [INSERT: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] 
2022-11-27 00:39:43:062 2 sec: 121000 operations; 121000 current ops/sec; est completion in 16 minutes [INSERT: Count=122000, Max=706559, Min=60800, Avg=366098.36, 90=598527, 99=688127, 99.9=706559, 99.99=706559] 
2022-11-27 00:39:44:062 3 sec: 216000 operations; 95000 current ops/sec; est completion in 13 minutes [INSERT: Count=94000, Max=627199, Min=54880, Avg=157502.64, 90=374015, 99=627199, 99.9=627199, 99.99=627199] 
2022-11-27 00:39:45:062 4 sec: 289000 operations; 73000 current ops/sec; est completion in 13 minutes [INSERT: Count=73000, Max=571391, Min=53152, Avg=184693.7, 90=319999, 99=571391, 99.9=571391, 99.99=571391] 
2022-11-27 00:39:46:062 5 sec: 315000 operations; 26000 current ops/sec; est completion in 15 minutes [INSERT: Count=26000, Max=826879, Min=168832, Avg=326473.85, 90=585727, 99=826879, 99.9=826879, 99.99=826879] 
2022-11-27 00:39:47:062 6 sec: 315000 operations; 0 current ops/sec; est completion in 18 minutes [INSERT: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] 
2022-11-27 00:39:48:062 7 sec: 315000 operations; 0 current ops/sec; est completion in 22 minutes [INSERT: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] 
2022-11-27 00:39:49:062 8 sec: 315000 operations; 0 current ops/sec; est completion in 25 minutes [INSERT: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] 
2022-11-27 00:39:50:062 9 sec: 315000 operations; 0 current ops/sec; est completion in 28 minutes [INSERT: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] 
2022-11-27 00:39:51:062 10 sec: 315000 operations; 0 current ops/sec; est completion in 31 minutes [INSERT: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] 
2022-11-27 00:39:52:062 11 sec: 315000 operations; 0 current ops/sec; est completion in 34 minutes [INSERT: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] 
2022-11-27 00:39:53:062 12 sec: 315000 operations; 0 current ops/sec; est completion in 37 minutes [INSERT: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] 
2022-11-27 00:39:54:063 13 sec: 315000 operations; 0 current ops/sec; est completion in 40 minutes [INSERT: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] 
2022-11-27 00:39:55:062 14 sec: 315000 operations; 0 current ops/sec; est completion in 43 minutes [INSERT: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] 
2022-11-27 00:39:56:062 15 sec: 315000 operations; 0 current ops/sec; est completion in 46 minutes [INSERT: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] 
2022-11-27 00:39:57:062 16 sec: 315000 operations; 0 current ops/sec; est completion in 49 minutes [INSERT: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] 
2022-11-27 00:39:58:062 17 sec: 315000 operations; 0 current ops/sec; est completion in 52 minutes [INSERT: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] 
2022-11-27 00:39:59:062 18 sec: 315000 operations; 0 current ops/sec; est completion in 55 minutes [INSERT: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] 
2022-11-27 00:40:00:062 19 sec: 315000 operations; 0 current ops/sec; est completion in 58 minutes [INSERT: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] 
2022-11-27 00:40:01:062 20 sec: 315000 operations; 0 current ops/sec; est completion in 1 hour 1 minute [INSERT: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] 
2022-11-27 00:40:02:062 21 sec: 337000 operations; 22000 current ops/sec; est completion in 1 hour [INSERT: Count=22000, Max=16875519, Min=16097280, Avg=16564224, 90=16826367, 99=16875519, 99.9=16875519, 99.99=16875519] 
2022-11-27 00:40:03:062 22 sec: 405000 operations; 68000 current ops/sec; est completion in 52 minutes [INSERT: Count=68000, Max=16588799, Min=14614528, Avg=15781406.12, 90=16449535, 99=16588799, 99.9=16588799, 99.99=16588799] 
2022-11-27 00:40:04:062 23 sec: 468000 operations; 63000 current ops/sec; est completion in 47 minutes [INSERT: Count=63000, Max=16187391, Min=12525568, Avg=14056886.86, 90=15073279, 99=16187391, 99.9=16187391, 99.99=16187391] 
2022-11-27 00:40:05:062 24 sec: 590000 operations; 122000 current ops/sec; est completion in 39 minutes [INSERT: Count=122000, Max=19922943, Min=2877440, Avg=13133597.38, 90=19644415, 99=19890175, 99.9=19922943, 99.99=19922943] 
2022-11-27 00:40:06:062 25 sec: 754000 operations; 164000 current ops/sec; est completion in 31 minutes [INSERT: Count=164000, Max=19972095, Min=3186688, Avg=17008896, 90=19546111, 99=19972095, 99.9=19972095, 99.99=19972095] 
2022-11-27 00:40:07:062 26 sec: 952000 operations; 198000 current ops/sec; est completion in 26 minutes [INSERT: Count=198000, Max=19070975, Min=3635200, Avg=16015241.05, 90=18579455, 99=18972671, 99.9=19070975, 99.99=19070975] 
2022-11-27 00:40:08:062 27 sec: 1172000 operations; 220000 current ops/sec; est completion in 22 minutes [INSERT: Count=220000, Max=18038783, Min=8298496, Avg=14898781.09, 90=17383423, 99=17924095, 99.9=18038783, 99.99=18038783] 
2022-11-27 00:40:09:062 28 sec: 1370000 operations; 198000 current ops/sec; est completion in 19 minutes [INSERT: Count=198000, Max=16416767, Min=4575232, Avg=13060395.96, 90=15785983, 99=16359423, 99.9=16416767, 99.99=16416767] 
2022-11-27 00:40:10:062 29 sec: 1588000 operations; 218000 current ops/sec; est completion in 17 minutes [INSERT: Count=218000, Max=15753215, Min=5095424, Avg=11745411.52, 90=14622719, 99=15491071, 99.9=15753215, 99.99=15753215] 
2022-11-27 00:40:11:062 30 sec: 1783000 operations; 195000 current ops/sec; est completion in 16 minutes [INSERT: Count=195000, Max=13811711, Min=5021696, Avg=10380156.72, 90=13090815, 99=13770751, 99.9=13811711, 99.99=13811711] 
2022-11-27 00:40:12:063 31 sec: 1996000 operations; 213000 current ops/sec; est completion in 14 minutes [INSERT: Count=213000, Max=12910591, Min=4184064, Avg=9563453.3, 90=12017663, 99=12689407, 99.9=12910591, 99.99=12910591] 
2022-11-27 00:40:13:062 32 sec: 2209000 operations; 213000 current ops/sec; est completion in 13 minutes [INSERT: Count=213000, Max=11517951, Min=3158016, Avg=7933355.87, 90=10485759, 99=11051007, 99.9=11517951, 99.99=11517951] 
2022-11-27 00:40:14:062 33 sec: 2412000 operations; 203000 current ops/sec; est completion in 13 minutes [INSERT: Count=203000, Max=10412031, Min=1594368, Avg=6281710.34, 90=9035775, 99=9912319, 99.9=10412031, 99.99=10412031] 
2022-11-27 00:40:15:062 34 sec: 2576000 operations; 164000 current ops/sec; est completion in 12 minutes [INSERT: Count=164000, Max=8904703, Min=1048576, Avg=5318568.59, 90=7835647, 99=8830975, 99.9=8904703, 99.99=8904703] 
2022-11-27 00:40:16:062 35 sec: 2801000 operations; 225000 current ops/sec; est completion in 11 minutes [INSERT: Count=225000, Max=7581695, Min=59008, Avg=4364807.61, 90=6819839, 99=7356415, 99.9=7581695, 99.99=7581695] 
2022-11-27 00:40:17:062 36 sec: 2980000 operations; 179000 current ops/sec; est completion in 11 minutes [INSERT: Count=179000, Max=6733823, Min=52000, Avg=3366234.01, 90=5251071, 99=6529023, 99.9=6733823, 99.99=6733823] 
2022-11-27 00:40:18:062 37 sec: 3052000 operations; 72000 current ops/sec; est completion in 11 minutes [INSERT: Count=72000, Max=5631999, Min=45152, Avg=2748230.67, 90=4870143, 99=5631999, 99.9=5631999, 99.99=5631999] 
2022-11-27 00:40:19:062 38 sec: 3174000 operations; 122000 current ops/sec; est completion in 11 minutes [INSERT: Count=122000, Max=5582847, Min=45600, Avg=2156448.26, 90=3876863, 99=5529599, 99.9=5582847, 99.99=5582847] 
2022-11-27 00:40:20:062 39 sec: 3282000 operations; 108000 current ops/sec; est completion in 11 minutes [INSERT: Count=108000, Max=6021119, Min=43072, Avg=1534522.67, 90=4026367, 99=5996543, 99.9=6021119, 99.99=6021119] 
2022-11-27 00:40:21:062 40 sec: 3416000 operations; 134000 current ops/sec; est completion in 11 minutes [INSERT: Count=134000, Max=6397951, Min=46368, Avg=1998615.52, 90=5672959, 99=6266879, 99.9=6397951, 99.99=6397951] 
2022-11-27 00:40:22:062 41 sec: 3570000 operations; 154000 current ops/sec; est completion in 10 minutes [INSERT: Count=154000, Max=5734399, Min=42080, Avg=2231908.88, 90=4726783, 99=5562367, 99.9=5734399, 99.99=5734399] 
2022-11-27 00:40:23:062 42 sec: 3669000 operations; 99000 current ops/sec; est completion in 10 minutes [INSERT: Count=99000, Max=3821567, Min=43104, Avg=871805.41, 90=2664447, 99=3821567, 99.9=3821567, 99.99=3821567] 
2022-11-27 00:40:24:062 43 sec: 3826000 operations; 157000 current ops/sec; est completion in 10 minutes [INSERT: Count=157000, Max=3581951, Min=45376, Avg=778325.81, 90=1903615, 99=3338239, 99.9=3581951, 99.99=3581951] 
2022-11-27 00:40:25:062 44 sec: 3914000 operations; 88000 current ops/sec; est completion in 10 minutes [INSERT: Count=88000, Max=321279, Min=42848, Avg=71636.55, 90=115519, 99=321279, 99.9=321279, 99.99=321279] 
2022-11-27 00:40:26:063 45 sec: 3997000 operations; 83000 current ops/sec; est completion in 10 minutes [INSERT: Count=83000, Max=586239, Min=41504, Avg=100314.99, 90=205695, 99=586239, 99.9=586239, 99.99=586239] 
2022-11-27 00:40:27:062 46 sec: 4088000 operations; 91000 current ops/sec; est completion in 10 minutes [INSERT: Count=91000, Max=647167, Min=40704, Avg=141610.2, 90=404223, 99=647167, 99.9=647167, 99.99=647167] 
2022-11-27 00:40:28:062 47 sec: 4178000 operations; 90000 current ops/sec; est completion in 10 minutes [INSERT: Count=90000, Max=409855, Min=42240, Avg=94253.33, 90=299263, 99=409855, 99.9=409855, 99.99=409855] 
2022-11-27 00:40:29:062 48 sec: 4274000 operations; 96000 current ops/sec; est completion in 10 minutes [INSERT: Count=96000, Max=429567, Min=41664, Avg=109279.67, 90=317183, 99=429567, 99.9=429567, 99.99=429567] 
2022-11-27 00:40:30:062 49 sec: 4360000 operations; 86000 current ops/sec; est completion in 10 minutes [INSERT: Count=86000, Max=418559, Min=41088, Avg=83016, 90=126719, 99=418559, 99.9=418559, 99.99=418559] 
2022-11-27 00:40:31:062 50 sec: 4446000 operations; 86000 current ops/sec; est completion in 10 minutes [INSERT: Count=86000, Max=612351, Min=42304, Avg=79387.53, 90=138623, 99=612351, 99.9=612351, 99.99=612351] 
2022-11-27 00:40:32:062 51 sec: 4539000 operations; 93000 current ops/sec; est completion in 10 minutes [INSERT: Count=93000, Max=854015, Min=40480, Avg=135772.56, 90=358399, 99=854015, 99.9=854015, 99.99=854015] 
2022-11-27 00:40:33:064 52 sec: 4625000 operations; 85914.09 current ops/sec; est completion in 10 minutes [INSERT: Count=86000, Max=608255, Min=45792, Avg=124638.14, 90=331519, 99=608255, 99.9=608255, 99.99=608255] 
2022-11-27 00:40:34:062 53 sec: 4720000 operations; 95095.1 current ops/sec; est completion in 10 minutes [INSERT: Count=95000, Max=623103, Min=47616, Avg=114897.35, 90=313087, 99=623103, 99.9=623103, 99.99=623103] 
2022-11-27 00:40:35:062 54 sec: 4809000 operations; 89000 current ops/sec; est completion in 10 minutes [INSERT: Count=89000, Max=413695, Min=44416, Avg=106561.62, 90=190847, 99=413695, 99.9=413695, 99.99=413695] 
2022-11-27 00:40:36:062 55 sec: 4903000 operations; 94000 current ops/sec; est completion in 10 minutes [INSERT: Count=94000, Max=579583, Min=41792, Avg=94698.72, 90=225919, 99=579583, 99.9=579583, 99.99=579583] 
2022-11-27 00:40:37:062 56 sec: 4988000 operations; 85000 current ops/sec; est completion in 10 minutes [INSERT: Count=85000, Max=613887, Min=44064, Avg=126963.76, 90=321023, 99=613887, 99.9=613887, 99.99=613887] 
2022-11-27 00:40:38:062 57 sec: 5083000 operations; 95000 current ops/sec; est completion in 10 minutes [INSERT: Count=95000, Max=620543, Min=40320, Avg=107441.52, 90=322815, 99=620543, 99.9=620543, 99.99=620543] 
2022-11-27 00:40:39:062 58 sec: 5161000 operations; 78000 current ops/sec; est completion in 10 minutes [INSERT: Count=78000, Max=460799, Min=42272, Avg=119592.41, 90=306431, 99=460799, 99.9=460799, 99.99=460799] 
2022-11-27 00:40:40:062 59 sec: 5260000 operations; 99000 current ops/sec; est completion in 10 minutes [INSERT: Count=99000, Max=570879, Min=44000, Avg=131574.79, 90=325375, 99=570879, 99.9=570879, 99.99=570879] 
2022-11-27 00:40:41:062 60 sec: 5353000 operations; 93000 current ops/sec; est completion in 10 minutes [INSERT: Count=93000, Max=329471, Min=40416, Avg=80661.16, 90=139647, 99=329471, 99.9=329471, 99.99=329471] 
2022-11-27 00:40:42:062 61 sec: 5445000 operations; 92000 current ops/sec; est completion in 10 minutes [INSERT: Count=92000, Max=413951, Min=41696, Avg=112318.26, 90=281855, 99=413951, 99.9=413951, 99.99=413951] 
2022-11-27 00:40:43:062 62 sec: 5524000 operations; 79000 current ops/sec; est completion in 10 minutes [INSERT: Count=79000, Max=514815, Min=43648, Avg=104549.67, 90=227327, 99=514815, 99.9=514815, 99.99=514815] 
2022-11-27 00:40:44:062 63 sec: 5610000 operations; 86000 current ops/sec; est completion in 10 minutes [INSERT: Count=86000, Max=897535, Min=43264, Avg=193222.33, 90=422399, 99=897535, 99.9=897535, 99.99=897535] 
2022-11-27 00:40:45:062 64 sec: 5713000 operations; 103000 current ops/sec; est completion in 10 minutes [INSERT: Count=103000, Max=846847, Min=40320, Avg=193721.01, 90=514815, 99=820223, 99.9=846847, 99.99=846847] 
2022-11-27 00:40:46:062 65 sec: 5805000 operations; 92000 current ops/sec; est completion in 10 minutes [INSERT: Count=92000, Max=575487, Min=43136, Avg=93985.04, 90=169343, 99=575487, 99.9=575487, 99.99=575487] 
2022-11-27 00:40:47:062 66 sec: 5889000 operations; 84000 current ops/sec; est completion in 10 minutes [INSERT: Count=84000, Max=583679, Min=42432, Avg=131041.33, 90=332287, 99=583679, 99.9=583679, 99.99=583679] 
2022-11-27 00:40:48:062 67 sec: 5974000 operations; 85000 current ops/sec; est completion in 10 minutes [INSERT: Count=85000, Max=437759, Min=43072, Avg=109757.74, 90=311295, 99=437759, 99.9=437759, 99.99=437759] 
2022-11-27 00:40:49:062 68 sec: 6072000 operations; 98000 current ops/sec; est completion in 10 minutes [INSERT: Count=98000, Max=669183, Min=42560, Avg=161858.45, 90=377087, 99=669183, 99.9=669183, 99.99=669183] 
2022-11-27 00:40:50:062 69 sec: 6158000 operations; 86000 current ops/sec; est completion in 10 minutes [INSERT: Count=86000, Max=578047, Min=41024, Avg=113138.23, 90=308735, 99=578047, 99.9=578047, 99.99=578047] 
2022-11-27 00:40:51:062 70 sec: 6251000 operations; 93000 current ops/sec; est completion in 10 minutes [INSERT: Count=93000, Max=401151, Min=41600, Avg=87772.04, 90=182143, 99=401151, 99.9=401151, 99.99=401151] 
2022-11-27 00:40:52:062 71 sec: 6338000 operations; 87000 current ops/sec; est completion in 10 minutes [INSERT: Count=87000, Max=376319, Min=42016, Avg=93385.38, 90=191615, 99=376319, 99.9=376319, 99.99=376319] 
2022-11-27 00:40:53:062 72 sec: 6420000 operations; 82000 current ops/sec; est completion in 10 minutes [INSERT: Count=82000, Max=638975, Min=44800, Avg=155472, 90=398591, 99=638975, 99.9=638975, 99.99=638975] 
2022-11-27 00:40:54:062 73 sec: 6520000 operations; 100000 current ops/sec; est completion in 9 minutes [INSERT: Count=100000, Max=655871, Min=41888, Avg=173796.16, 90=407295, 99=600063, 99.9=655871, 99.99=655871] 
2022-11-27 00:40:55:062 74 sec: 6607000 operations; 87000 current ops/sec; est completion in 9 minutes [INSERT: Count=87000, Max=424447, Min=42464, Avg=115738.85, 90=314623, 99=424447, 99.9=424447, 99.99=424447] 
2022-11-27 00:40:56:062 75 sec: 6694000 operations; 87000 current ops/sec; est completion in 9 minutes [INSERT: Count=87000, Max=634879, Min=42624, Avg=146475.77, 90=359423, 99=634879, 99.9=634879, 99.99=634879] 
2022-11-27 00:40:57:062 76 sec: 6791000 operations; 97000 current ops/sec; est completion in 9 minutes [INSERT: Count=97000, Max=618495, Min=41952, Avg=137035.55, 90=323327, 99=618495, 99.9=618495, 99.99=618495] 
2022-11-27 00:40:58:062 77 sec: 6874000 operations; 83000 current ops/sec; est completion in 9 minutes [INSERT: Count=83000, Max=376831, Min=41152, Avg=107939.47, 90=335103, 99=376831, 99.9=376831, 99.99=376831] 
2022-11-27 00:40:59:062 78 sec: 6958000 operations; 84000 current ops/sec; est completion in 9 minutes [INSERT: Count=84000, Max=596991, Min=44416, Avg=188217.71, 90=403711, 99=596991, 99.9=596991, 99.99=596991] 
2022-11-27 00:41:00:062 79 sec: 7053000 operations; 95000 current ops/sec; est completion in 9 minutes [INSERT: Count=95000, Max=575487, Min=43840, Avg=164526.15, 90=338687, 99=575487, 99.9=575487, 99.99=575487] 
2022-11-27 00:41:01:062 80 sec: 7145000 operations; 92000 current ops/sec; est completion in 9 minutes [INSERT: Count=92000, Max=452607, Min=43200, Avg=107028.87, 90=224895, 99=452607, 99.9=452607, 99.99=452607] 
2022-11-27 00:41:02:062 81 sec: 7230000 operations; 85000 current ops/sec; est completion in 9 minutes [INSERT: Count=85000, Max=500479, Min=42112, Avg=124037.08, 90=338431, 99=500479, 99.9=500479, 99.99=500479] 
2022-11-27 00:41:03:062 82 sec: 7331000 operations; 101000 current ops/sec; est completion in 9 minutes [INSERT: Count=101000, Max=622591, Min=44064, Avg=134978.22, 90=322047, 99=620543, 99.9=622591, 99.99=622591] 
2022-11-27 00:41:04:062 83 sec: 7420000 operations; 89000 current ops/sec; est completion in 9 minutes [INSERT: Count=89000, Max=458495, Min=43712, Avg=109200, 90=314111, 99=458495, 99.9=458495, 99.99=458495] 
2022-11-27 00:41:05:062 84 sec: 7514000 operations; 94000 current ops/sec; est completion in 9 minutes [INSERT: Count=94000, Max=622079, Min=40224, Avg=130093.96, 90=316159, 99=622079, 99.9=622079, 99.99=622079] 
2022-11-27 00:41:06:062 85 sec: 7600000 operations; 86000 current ops/sec; est completion in 9 minutes [INSERT: Count=86000, Max=465151, Min=41760, Avg=107263.81, 90=314111, 99=465151, 99.9=465151, 99.99=465151] 
2022-11-27 00:41:07:062 86 sec: 7687000 operations; 87000 current ops/sec; est completion in 9 minutes [INSERT: Count=88000, Max=578559, Min=40608, Avg=114953.64, 90=323071, 99=578559, 99.9=578559, 99.99=578559] 
2022-11-27 00:41:08:062 87 sec: 7780000 operations; 93000 current ops/sec; est completion in 9 minutes [INSERT: Count=92000, Max=593919, Min=42208, Avg=164742.61, 90=411135, 99=593919, 99.9=593919, 99.99=593919] 
2022-11-27 00:41:09:062 88 sec: 7862000 operations; 82000 current ops/sec; est completion in 9 minutes [INSERT: Count=82000, Max=453631, Min=45280, Avg=113594.54, 90=322559, 99=453631, 99.9=453631, 99.99=453631] 
2022-11-27 00:41:10:062 89 sec: 7957000 operations; 95000 current ops/sec; est completion in 9 minutes [INSERT: Count=95000, Max=481791, Min=41856, Avg=102390.57, 90=225791, 99=481791, 99.9=481791, 99.99=481791] 
