/usr/bin/java -Xmx64G -XX:MaxDirectMemorySize=64G -classpath /root/YCSB/conf:/root/YCSB/core/target/core-0.18.0-SNAPSHOT.jar:/root/YCSB/rocksdb/target/rocksdb-binding-0.18.0-SNAPSHOT.jar:/root/YCSB/rocksdb/target/dependency/HdrHistogram-2.1.4.jar:/root/YCSB/rocksdb/target/dependency/animal-sniffer-annotations-1.19.jar:/root/YCSB/rocksdb/target/dependency/annotations-4.1.1.4.jar:/root/YCSB/rocksdb/target/dependency/checker-compat-qual-2.5.5.jar:/root/YCSB/rocksdb/target/dependency/error_prone_annotations-2.4.0.jar:/root/YCSB/rocksdb/target/dependency/failureaccess-1.0.1.jar:/root/YCSB/rocksdb/target/dependency/grpc-api-1.37.1.jar:/root/YCSB/rocksdb/target/dependency/grpc-context-1.37.1.jar:/root/YCSB/rocksdb/target/dependency/grpc-core-1.37.1.jar:/root/YCSB/rocksdb/target/dependency/grpc-netty-shaded-1.37.1.jar:/root/YCSB/rocksdb/target/dependency/grpc-protobuf-1.37.1.jar:/root/YCSB/rocksdb/target/dependency/grpc-protobuf-lite-1.37.1.jar:/root/YCSB/rocksdb/target/dependency/grpc-stub-1.37.1.jar:/root/YCSB/rocksdb/target/dependency/gson-2.8.6.jar:/root/YCSB/rocksdb/target/dependency/guava-30.0-android.jar:/root/YCSB/rocksdb/target/dependency/htrace-core4-4.1.0-incubating.jar:/root/YCSB/rocksdb/target/dependency/j2objc-annotations-1.3.jar:/root/YCSB/rocksdb/target/dependency/jcip-annotations-1.0.jar:/root/YCSB/rocksdb/target/dependency/jsr305-3.0.2.jar:/root/YCSB/rocksdb/target/dependency/listenablefuture-9999.0-empty-to-avoid-conflict-with-guava.jar:/root/YCSB/rocksdb/target/dependency/perfmark-api-0.23.0.jar:/root/YCSB/rocksdb/target/dependency/proto-google-common-protos-2.0.1.jar:/root/YCSB/rocksdb/target/dependency/protobuf-java-3.12.0.jar:/root/YCSB/rocksdb/target/dependency/rocksdbjni-6.14.0.jar:/root/YCSB/rocksdb/target/dependency/slf4j-api-1.7.25.jar:/root/YCSB/rocksdb/target/dependency/slf4j-simple-1.7.25.jar site.ycsb.Client -load -db site.ycsb.db.rocksdb.RocksDBClient -s -P workloads/workloadd -p rocksdb.dir=null -p replicator=localhost:50040 -p shard=8 -p status.interval=1000 -p target=90000 -threads 4
Command line: -load -db site.ycsb.db.rocksdb.RocksDBClient -s -P workloads/workloadd -p rocksdb.dir=null -p replicator=localhost:50040 -p shard=8 -p status.interval=1000 -p target=90000 -threads 4
threadcount: 4
YCSB Client 0.18.0-SNAPSHOT

Loading workload...
Starting test.
[Thread-3] INFO site.ycsb.db.rocksdb.RocksDBClient - RocksDB data dir: null
2022-11-27 14:56:15:190 0 sec: 0 operations; est completion in 0 second 
DBWrapper: report latency for each error is false and specific error codes to track for latency are: []
2022-11-27 14:56:16:162 1 sec: 0 operations; est completion in 106751991167300 days 15 hours [INSERT: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] 
2022-11-27 14:56:31:161 16 sec: 430000 operations; 0 current ops/sec; est completion in 48 minutes [INSERT: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] 
2022-11-27 14:56:32:161 17 sec: 430000 operations; 0 current ops/sec; est completion in 51 minutes [INSERT: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] 
2022-11-27 14:56:33:161 18 sec: 430000 operations; 0 current ops/sec; est completion in 54 minutes [INSERT: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] 
2022-11-27 14:56:34:161 19 sec: 449000 operations; 19000 current ops/sec; est completion in 55 minutes [INSERT: Count=19000, Max=13197311, Min=10854400, Avg=12435240.42, 90=13090815, 99=13197311, 99.9=13197311, 99.99=13197311] 
2022-11-27 14:56:35:161 20 sec: 535000 operations; 86000 current ops/sec; est completion in 48 minutes [INSERT: Count=86000, Max=14663679, Min=8171520, Avg=12468033.49, 90=14352383, 99=14663679, 99.9=14663679, 99.99=14663679] 
2022-11-27 14:56:36:161 21 sec: 691000 operations; 156000 current ops/sec; est completion in 39 minutes [INSERT: Count=156000, Max=14942207, Min=5005312, Avg=12718644.51, 90=14417919, 99=14835711, 99.9=14942207, 99.99=14942207] 
2022-11-27 14:56:37:161 22 sec: 850000 operations; 159000 current ops/sec; est completion in 33 minutes [INSERT: Count=159000, Max=14278655, Min=5513216, Avg=12386020.63, 90=13516799, 99=14008319, 99.9=14278655, 99.99=14278655] 
2022-11-27 14:56:38:161 23 sec: 1083000 operations; 233000 current ops/sec; est completion in 27 minutes [INSERT: Count=233000, Max=15736831, Min=6184960, Avg=11139344.48, 90=13017087, 99=15048703, 99.9=15736831, 99.99=15736831] 
2022-11-27 14:56:39:161 24 sec: 1306000 operations; 223000 current ops/sec; est completion in 23 minutes [INSERT: Count=223000, Max=16613375, Min=4308992, Avg=9338457.54, 90=11780095, 99=16064511, 99.9=16613375, 99.99=16613375] 
2022-11-27 14:56:40:161 25 sec: 1525000 operations; 219000 current ops/sec; est completion in 21 minutes [INSERT: Count=219000, Max=15523839, Min=3627008, Avg=8154140.05, 90=11223039, 99=14835711, 99.9=15523839, 99.99=15523839] 
2022-11-27 14:56:41:161 26 sec: 1730000 operations; 205000 current ops/sec; est completion in 19 minutes [INSERT: Count=205000, Max=17104895, Min=2228224, Avg=6402087.96, 90=8863743, 99=12107775, 99.9=17104895, 99.99=17104895] 
2022-11-27 14:56:42:161 27 sec: 1933000 operations; 203000 current ops/sec; est completion in 18 minutes [INSERT: Count=203000, Max=11345919, Min=1265664, Avg=5054249.62, 90=7573503, 99=11010047, 99.9=11345919, 99.99=11345919] 
2022-11-27 14:56:43:161 28 sec: 2141000 operations; 208000 current ops/sec; est completion in 16 minutes [INSERT: Count=208000, Max=18137087, Min=120384, Avg=4618062.15, 90=9510911, 99=17498111, 99.9=18137087, 99.99=18137087] 
